RespondID,CommentsImproveHealthWell-beingCounty
11175384095,
11175370740,
11175295204,
11175288158,
11175277587,
11175267972,
11175258600,
11175250062,
11175236349,
11175229187,
11175219611,
11175199664,
11175189002,
11175176277,
11175164765,
11175139037,
11175128915,
11175115405,
11175104609,
11175092364,
11173249386,
11173235540,
11173223016,
11173209838,
11173198394,
11173190326,
11173055944,
11173042890,
11173026214,
11172966525,
11172938467,
11172872881,
11172803317,
11172753320,
11172746603,
11172363102,
11172347091,
11172335569,
11172303812,
11172278963,
11172197756,
11172186318,
11172167471,
11172149313,
11172120974,
11172062754,Need help with homelessness and drivers license
11172052079,
11172044998,
11172041700,
11172034736,
11172010683,
11172000928,Better mental health availability . Medical care
11171936973,
11171889102,
11171775862,
11171744820,
11171441943,
11170555556,
11170551553,
11170547753,
11170544349,
11170540159,
11170534414,
11170529752,
11170526913,
11170522659,
11170517469,
11170513329,
11170508863,
11170505170,
11170501657,
11170497462,
11170493685,
11170489392,
11170485561,
11170480662,
11170475594,
11170465902,"Affordable housing, schools and childcare"
11170410525,
11170406398,
11170402172,
11170390467,
11170388316,
11170385868,
11170384038,
11170380065,
11170379842,
11170376460,
11170375759,
11170373594,
11170371268,
11170370535,
11170366506,more information and easier access to programs
11170365613,
11170361669,
11170361070,
11170357712,
11170352706,
11170278322,
11170270798,
11170267342,
11170264318,
11170261154,
11170258172,
11170253587,
11170249369,
11170244763,"All the questions are great and the efforts are great, but we need to work as a nation to help your neighbor to make it our job to search for more help for single mothers and elderly people transportation and just help in general. Thank you."
11170241090,
11170236173,
11170233091,
11170229339,Both hospitals are rated a C.
11170223351,"More local primary care physicians that take plans that are on the health insurance marketplace, in particular Ambetter from Sunshine Health. Home taxes are very expensive if previous homeowner owned home for a long time."
11170219778,
11170214711,
11170210539,
11170075695,
11170074780,
11170073523,
11170072348,
11170071797,
11170067881,
11170047634,need bus stem
11170042390,
11170036459,
11170029101,
11170022747,
11170017835,
11169999380,
11169996472,
11169993736,
11169989985,
11169986596,Better air quality. Taking care of issues with Red Tide
11169984164,
11169981309,
11169974644,
11169972106,
11169969037,
11169966175,
11169962352,
11169956552,
11169764917,"Recently, more pathway and bikeways have been developed, but there are significant gaps.  One in particular is at exit 170 where extensive bikeways  north and south of interstate 75 are not concreted. This is a safety issue"
11169759192,
11169753627,
11169428242,"We have to make plans to address problems, not just note them."
11169397573,
11169202582,
11169199030,
11169196712,
11169193594,Help please
11169190060,
11169187907,transpo
11169186487,
11169183293,
11169175856,some people need transportation where are the buses? Where is health coverage for the needy?
11169174387,
11169173937,
11169172317,
11169171337,
11169170078,
11169166971,
11169165292,
11169163908,we need to have more for kids to keep them busy so they won't get themselves in trouble
11169162335,Medicare for all
11169161039,
11169159588,
11169158203,
11169157600,
11169156152,
11169154802,money for caregivers
11169153963,
11169152282,
11169151581,
11169150978,
11169148965,
11169146608,
11169144330,there should be more abvertisement
11169143766,
11169143497,
11169138263,more awareness of mental health issues and implementation of community resources into the schools to help with the epidemic
11169136558,
11169135569,
11169133857,
11169133183,
11169133084,
11169129614,
11169129353,
11169129336,
11169125217,After School for special needs children so parents can work
11169122591,
11169118008,
11169117451,"I am appalled at NO BUS SERVICE for such a thriving and growing county, this is UNACCEPTABLE!!!"
11169115321,
11169112661,
11169112395,
11169110225,
11169107368,
11169105275,
11169101025,
11169098619,
11169096282,
11169091552,Better public transportation options
11169088964,
11169084262,"More free healthcare in Charlotte County,I have to go to North Port"
11169080289,
11169078051,
11169076744,
11169075073,
11169061263,
11169053621,
11169050480,
11169047266,
11169043223,
11169039671,I'm a new resident
11169036708,
11169032638,
11169027789,
11169026199,Public transportation and/or increase communication about current ride system
11169023793,
11169021445,
11169019807,
11169017642,
11169016622,
11169014798,
11169013225,
11169011413,For youth more recreational activities need to be made available. For single adults more music/social events/mixers
11169009413,
11168987777,"Make more free recreational health activities more well-known social media, text alerts like what people sign-up for during the hurricanes"
11168983610,Text alerts for any community events
11168978050,
11168974990,
11168972050,
11168967764,Neighbors should be notified if a convicted sex offender is moving in their neighborhood
11168965065,
11168962007,
11168957322,The first thing would be for the county to make certain that the people living here know of existing service are available and how to contact them
11168953748,"Affordable health insurance, lower prescription costs, better healthcare"
11168948564,
11168945581,
11168942824,Team work
11168940274,I wish there were more options for transportation besides Dial-a-Ride
11168937866,
11168935261,
11168932016,More affordability. More help for our veterans
11168788711,
11168783767,
11168778770,
11168760288,
11168753097,I think if it was more affordable more people would get it
11168748328,
11168741905,More affordable health care
11168735906,
11168733906,
11168729577,
11168728711,
11168726759,
11168723278,
11168718852,
11168716255,"We need affordable transportation services (bus). Need better pay for most females, $8.00 very poor"
11168712393,
11168710897,
11168707645,
11168699973,
11168699946,
11168696658,
11168694316,
11168691332,
11168684025,More activities involving christian and friendship based programs - helping one another
11168682452,
11168680256,
11168674752,
11168674651,
11168670412,
11168665608,
11168661093,
11168657433,
11168555676,need bus system
